# Seed do cadastro fiscal IRPF (asset_metadata)
#
# Cada linha mapeia um ticker B3 para CNPJ + razão social oficial + classe IRPF.
# Carregado pelo bootstrap (`make bootstrap-asset-metadata`) — só preenche linhas
# onde os campos estão NULL; nunca sobrescreve dado já preenchido manualmente.
#
# IMPORTANTE — CONTRATO HUMANO:
# - Cada linha aqui foi confirmada com PELO MENOS UMA fonte oficial (B3, RI ou CVM).
# - Tickers renomeados (ex.: GALG11 -> GARE11) ficam como linhas separadas com o
#   MESMO CNPJ. O ticker velho preserva o histórico de operações antigas.
# - NUNCA inclua um ticker sem confirmar o CNPJ. Em caso de dúvida, deixe a Skill
#   `asset-metadata-enrich` lidar com o caso e proponha um diff aqui via PR.
# - Razão social vai EXATA como aparece no documento oficial (sem traduzir, sem
#   abreviar, mantendo acentos).
#
# Formato: ticker,cnpj,razao_social,asset_class_irpf,fonte
# - asset_class_irpf: acao | fii | fiagro | bdr | etf
# - fonte: descrição curta da fonte primária (ex.: "B3 2026-04", "RI Itausa 2026-04")
#
ticker,cnpj,razao_social,asset_class_irpf,fonte
GALG11,37.295.919/0001-60,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN REAL ESTATE,fii,B3/CVM 2026-05 (ticker antigo GALG11 -> GARE11)
GARE11,37.295.919/0001-60,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN REAL ESTATE,fii,B3/CVM 2026-05
HGLG11,11.728.688/0001-47,PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3 2026-05 (ex-CSHG Logística)
HTMX11,08.706.065/0001-69,HOTEL MAXINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3/CVM 2026-05
IRDM11,28.830.325/0001-10,FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,fii,B3/CVM 2026-05 (incorporado por IRIM11 em 2025)
IRIM11,41.076.564/0001-95,IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3/CVM 2026-05 (incorporou IRDM11 em 2025)
ISAE4,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,acao,B3 2026-05 (ex-CTEEP/TRPL4)
ITSA4,61.532.644/0001-15,ITAÚSA S.A.,acao,B3/RI Itaúsa 2026-05
ITUB4,60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,acao,B3 2026-05
JSRE11,13.371.132/0001-71,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3/CVM 2026-05
KLBN4,89.637.490/0001-45,KLABIN S.A.,acao,B3 2026-05
KNCR11,16.706.958/0001-32,KINEA RENDIMENTOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3/CVM 2026-05
MDIA3,07.206.816/0001-15,M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS,acao,B3/CVM 2026-05
MGLU3,47.960.950/0001-21,MAGAZINE LUIZA S.A.,acao,B3/RI 2026-05
MXRF11,97.521.225/0001-25,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAXI RENDA,fii,B3/CVM 2026-05
PETR4,33.000.167/0001-01,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,acao,B3/CVM 2026-05
RBRY11,30.166.700/0001-11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR CRÉDITO IMOBILIÁRIO ESTRUTURADO,fii,B3/CVM 2026-05
RECR11,28.152.272/0001-26,FII REC RECEBÍVEIS IMOBILIÁRIOS,fii,B3/CVM 2026-05
SAPR11,76.484.013/0001-45,COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR,acao,B3 2026-05 (Unit 1 ON + 4 PN)
SDIL11,16.671.412/0001-93,FUNDO DE INVESTIMENTO IMOBILIÁRIO SDI RIO BRAVO RENDA LOGÍSTICA,fii,B3/CVM 2026-05
TAEE4,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,acao,B3/RI Taesa 2026-05
TRPL4,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,acao,B3 2026-05 (ticker antigo TRPL4 -> ISAE4)
VISC11,17.554.274/0001-25,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,B3/CVM 2026-05
WEGE3,84.429.695/0001-11,WEG S.A.,acao,B3/CVM 2026-05
XPLG11,26.502.794/0001-85,XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,fii,B3/CVM 2026-05
XPML11,28.757.546/0001-00,XP MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,fii,B3/CVM 2026-05
